word,value
moving,3102
mr.,20053
mrs.,7064
ms.,3131
much,34270
murder,3089
music,2631
must,14089
myself,11559
name,13044
natalie,3660
nbsp,2824
near,2386
need,46040
needed,4043
needs,6555
neither,2417
never,44728
new,18860
news,5936
next,12147
nice,16275
nick,2699
night,24900
niles,2956
nobody,5195
none,3615
nora,2345
normal,2339
nothing,26592
now,100909
number,5289
o,4030
obviously,3741
off,33887
offer,2563
office,5955
ok,49968
okay,63509
old,14041
once,9931
one,84057
ones,2539
only,30599
ooh,4184
open,7598
or,55062
order,4270
other,23936
our,39896
outside,4260
over,40001
ow,2557
owe,2354
own,14849
pain,3720
paper,2607
parents,4725
part,9518
party,7633
pass,2374
past,5315
paul,4616
pay,6016
people,28517
perfect,6276
perhaps,3165
person,8997
personal,3103
phoebe,2638
phone,8424
pick,5610
picture,3984
piece,3239
place,16796
plan,5557
plans,2327
play,7883
playing,3899
please,33628
point,8707
police,6260
poor,3431
possible,4228
possibly,2280
power,4094
pregnant,2805
present,2313
president,4086
pretty,12746
prison,2401
private,2311
probably,11332
problem,11931
problems,3090
promise,6926
protect,3465
proud,2586
prove,2852
pull,3340
put,21617
putting,2366
question,6841
questions,3741
quiet,2454
quite,5304
r.,3636
ran,2692
rather,3241
ray,2752
read,5743
ready,10461
real,13161
realize,4114
really,68311
reason,8395
red,2976
relationship,3880
relax,2877
remember,17266
respect,2410
rest,7417
richard,2499
rick,2909
ride,2768
ridge,2633
ring,2786
road,2448
room,13467
rose,2890
ross,2981
run,9076
running,4842
ryan,2461
s.,5255
safe,4999
said,34568
sake,2281
sam,6354
same,13024
save,5144
saw,12707
say,50213
saying,12204
says,7821
scared,3991
school,9443
second,9605
secret,3810
see,75968
seeing,4495
seem,5001
seems,5138
seen,10192
self,2358
send,4045
sense,4597
sent,3524
serious,5390
set,6878
seven,2569
sex,4049
shall,2779
share,2563
shawn,2281
she,110122
she'll,3780
she's,42795
sheridan,3299
shit,5388
shoot,2759
short,2440
shot,4866
should,34829
shouldn't,5874
show,12392
shut,6294
sick,5256
side,5813
sign,3890
simple,2549
since,10757
sir,12557
sister,7188
sit,7625
sitting,2920
situation,3359
six,4737
sleep,5747
small,2843
smart,2847
some,53265
somebody,8923
someone,15035
something,54736
sometimes,5596
somewhere,3707
son,13131
sonny,5635
soon,9261
sorry,39854
sort,5000
sound,4488
sounds,5665
speak,4322
special,4573
spend,4175
spent,2406
stand,6257
standing,2690
start,10704
started,5707
starting,2984
state,2592
stay,16167
staying,2443
step,3161
stick,2753
still,28308
stop,21341
stopped,2719
story,6231
straight,3695
street,2920
strong,3088
stuff,9709
stupid,6020
such,8813
suppose,2952
supposed,9818
sure,40757
surprise,3439
surprised,2381
swear,3239
sweet,4628
sweetheart,3434
sweetie,2439
t.,5329
table,2835
take,49868
taken,3997
takes,3386
taking,7996
talk,28834
talked,3975
talking,18875
tape,2605
team,2773
tell,61352
telling,9129
ten,4448
terrible,2914
test,3547
than,24815
thank,31728
thanks,19233
that's,102146
their,15907
them,40366
then,52197
there,85662
there's,35242
theresa,5056
these,21929
they,69192
they'll,3593
they're,21309
they've,2566
thing,38121
things,26305
think,102403
thinking,11721
thinks,4298
those,19849
though,6502
thought,30211
thousand,2633
three,12088
through,18903
throw,3697
till,3091
time,64891
times,6475
timmy,2565
tired,3029
today,10561
todd,2943
together,17074
told,25594
tomorrow,8254
tonight,13305
tony,2913
too,43360
took,10083
top,3283
totally,4157
touch,3755
tough,2606
town,8099
tried,6830
trip,2975
trouble,6510
true,9296
trust,8187
truth,9470
try,15235
trying,19173
turn,8264
turned,3770
twenty,3463
two,29788
uh,36435
um,12883
under,6999
understand,16724
unless,4078
until,10432
up,103826
upset,5064
upstairs,2293
us,49492
use,9096
used,9623
using,2345
very,36140
victor,2412
voice,2530
wait,27920
waiting,6132
wake,2857
walk,6619
wanna,10250
want,102822
wanted,20074
wants,10269
war,2690
wasn't,16007
watch,7310
watching,3152
water,4469
way,49794
we'd,3205
we'll,17077
we're,43491
we've,11200
wear,2765
wearing,2678
wedding,6334
week,5356
weeks,3350
weird,3797
welcome,4373
went,12892
were,58127
weren't,4896
what's,39305
whatever,10363
when,65117
where,39330
where's,5711
whether,2316
which,13652
while,11006
white,3665
who,53799
who's,9109
whoa,7081
whole,14623
why,78554
wife,9125
will,64811
win,3126
wish,8262
without,10421
woman,13734
women,4441
won't,19208
wonder,3735
wonderful,5341
wondering,2549
word,7355
words,3647
work,23683
worked,3577
working,8016
works,2903
world,11754
worried,5066
worry,9620
worse,4218
worth,3303
would,67718
would've,2523
wouldn't,16615
wow,7036
write,2741
wrong,19025
y'know,3395
ya,6212
year,8013
years,13526
yes,55828
yet,10225
york,2873
you'd,10577
you'll,14958
you've,23483
young,5680
yours,5805
yourself,14291
